#,Zona Geográfica,Região administrativa,Bairro,População(2010),área km²,área km²
144,ZONA OESTE,Oeste,Nova Granada (ZO),463,"0,048",
145,ZONA NORTE,Venda Nova,Lagoinha Leblon,5 973,"0,519",
146,ZONA LESTE,Leste,Horto Florestal,5 971,"1,983",
147,ZONA OESTE,Noroeste,Jardim Montanhês,5 957,"0,597",
148,ZONA NORTE,Norte,Juliana,5 892,"0,928",
149,ZONA OESTE,Noroeste,São Salvador,5 839,"0,591",
150,ZONA SUL,Centro-Sul,Coração de Jesus,5 812,"0,284",
151,ZONA LESTE,Nordeste,Silveira,5 800,"0,344",
152,ZONA OESTE,Barreiro,Olaria,5 776,"0,632",
153,ZONA LESTE,Leste,Pompéia,5 686,"0,586",
154,ZONA SUL,Barreiro,Vila Cemig,5 668,"0,26",
155,ZONA OESTE,Oeste,Nova Cintra,5 664,"0,733",
156,ZONA OESTE,Barreiro,Castanheira,5 650,"0,397",
157,ZONA LESTE,Nordeste,Palmares (ZL),4 364,"0,551",
157,ZONA NORTE,Nordeste,Palmares (ZN),1 157,"0,146",
158,ZONA OESTE,Oeste,Cinquentenário,5 460,"0,694",
159,ZONA NORTE,Pampulha,Bandeirantes,5 428,"4,776",
160,ZONA OESTE,Barreiro,Santa Helena,5 356,"0,591",
161,ZONA NORTE,Pampulha,Santa Branca,5 355,"0,867",
162,ZONA LESTE,Nordeste,Vila Maria,5 308,"0,132",
163,ZONA OESTE,Oeste,Alto Barroca,5 213,"0,315",
164,ZONA OESTE,Oeste,Vista Alegre,5 160,"0,459",
165,ZONA LESTE,Nordeste,Vista do Sol,5 121,"0,31",
166,ZONA NORTE,Noroeste,Aparecida Sétima Seção,4 917,"0,476",
167,ZONA LESTE,Leste,Saudade,4 893,"0,595",
168,ZONA LESTE,Norte,Lajedo,4 862,"0,508",
169,ZONA LESTE,Nordeste,Graça,4 792,"0,425",
170,ZONA NORTE,Pampulha,São Luíz,4 762,"2,766",
171,ZONA OESTE,Oeste,Estrela do Oriente,4 761,"1,012",
172,ZONA NORTE,Noroeste,Nova Cachoeirinha,4 735,"0,55",
173,ZONA LESTE,Nordeste,Ipê,4 687,"0,488",
174,ZONA NORTE,Pampulha,Urca,4 685,"0,289",
175,ZONA OESTE,Barreiro,Bairro Novo das Indústrias,4 614,"0,754",
176,HIPERCENTRO,Centro-Sul,Boa Viagem,4 564,"0,235",
177,ZONA SUL,Oeste,Estoril,4 539,"1,697",
178,ZONA LESTE,Nordeste,Nova Floresta,4 496,"0,427",
179,ZONA OESTE,Noroeste,Monsenhor Messias,4 489,"0,349",
180,ZONA NORTE,Pampulha,Liberdade,4 477,"0,448",
181,ZONA OESTE,Oeste,Madre Gertrudes,4 475,"0,545",
182,ZONA NORTE,Noroeste,Pedreira Prado Lopes,4 453,"0,155",
183,ZONA NORTE,Noroeste,Bonfim (ZN),2 978,"0,589",
183,HIPERCENTRO,Noroeste,Bonfim (HC),1 470,"0,291",
184,ZONA NORTE,Noroeste,Nova Esperança,4 426,"0,444",
